"number","title","state","labels","bug_classification","classification_basis","created_at","updated_at","closed_at","body"
"561","Leftovers still present on the system","open","junk/app detection","bug-like","manual triage from title/body","2023-11-22 15:17:46","2023-12-17 16:45:04","","BCUninstaller doesn't detect and remove leftover app directories in `%PROGRAMDATA%` `%APPDATA%` or dot-folders in home directory. Example:
- After uninstalling GOG Galaxy through BCU I can still find the following leftover directories:
  * `%PROGRAMDATA%/GOG.com`
  * `%LOCALAPPDATA%/GOG.com`
- Removing VS Code does not remove `~/.vscode` directory. Same for Docker Desktop `~/.docker`


OS: Windows 11 22621
BCU Version: 5.7
"
"571","Cant deinstall IOBIT Uninstaller","open","","bug-like","manual triage from title/body","2023-12-07 08:06:51","2023-12-07 13:37:17","","The IOBIT Uninstaller software cannot be uninstalled with this tool here"
"576","Autodesk Products stuck on user prompt.","open","automatization","bug-like","manual triage from title/body","2024-01-11 11:02:18","2024-02-23 16:26:18","","Autodesk Products such as Autocad 2024 cannot be silently uninstalled - requiring user prompt.

This is with a silent uninstall, with automatically kill stuck quiet uninstallers on, generate missing quiet uninstallers and automatically kill if stuck waiting for user input enabled. Nothing happens and it will stay on this uninstall screen forever.

Is there a way around this or is it down to the type of uninstaller Autodesk uses?

![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/63205891/2c81bd06-834e-4733-823b-fe4a54cdc9f8)


Much appreciated...!"
"579","Missing/Broken Msiexec Circumventing CPU Stall Checks","open","bug; automatization","bug","upstream bug label","2024-01-23 19:24:28","2024-02-23 16:25:17","","While attempting to use BCU to uninstall a ""broken"" Zoom msiexec install (the uninstall media was missing), I noted that msiexec sometimes will be using 10%+ CPU when it is doing nothing but sitting at this screen:

![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/11358399/36e355d5-8f5d-419c-bf82-7425985442cc)

Currently the [`UninstallThread()`](https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L283) method in [`BulkUninstallEntry.cs`](https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/master/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs) is waiting for [30 consecutive `true` returns](https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L366-L381) from [`TestUninstallerForStalls()`](https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L205) saying that the process is using less than [1% CPU and 10KB of IO](https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L262), however in my test case, the process will infinitely run, as msiexec is running at 10%+ CPU but with 0 I/O. I have two solutions to this that I have tested successfully locally:

## **The easy fix**
Simply make the CPU and IO checks an `or` instead of `and`:

_Current:_
https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L262
_Proposed:_
```c#
if (c0 <= 1 || c1 <= 10240)
```
While I do not have solid data to back this up, my assumption would be that if an uninstaller does not perform any IO work or any CPU work in 30 seconds then it is likely stalled. I am open to suggestions/corrections here as this is simply an assumption.

## **The possibly more robust fix**
Add a new property and constructor parameter to `RunUninstallerOptions` to allow for an optional ""timeout"":

_Current:_
https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L615-L635

_Proposed:_
```c#
internal sealed class RunUninstallerOptions 
 { 
     public RunUninstallerOptions(
bool autoKillStuckQuiet, bool retryFailedQuiet, bool preferQuiet, bool simulate, BulkUninstallTask owner,
/****New timeout property****/int timeout = -1) 
     { 
         AutoKillStuckQuiet = autoKillStuckQuiet; 
         RetryFailedQuiet = retryFailedQuiet; 
         PreferQuiet = preferQuiet; 
         Simulate = simulate; 
         Owner = owner;
         // ***New timeout property***
         Timeout = timeout;
     } 
  
     public bool AutoKillStuckQuiet { get; } 
  
     public bool PreferQuiet { get; } 
  
     public bool RetryFailedQuiet { get; } 
  
     public bool Simulate { get; } 
  
     public BulkUninstallTask Owner { get; } 

    // ***New timeout property***
    public int Timeout { get; }

 } 
```

Use this timeout functionality where required to kill the uninstall process even if it is not being marked as ""stalled"". For instance:

_Current:_
https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L316-L319

https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/f18ce757f3c4edd219c123211f4209ffa0f5a726/source/UninstallTools/Uninstaller/BulkUninstallEntry.cs#L375-L379

_Proposed:_
```c#
var idleCounter = 0;
Stopwatch watch = new Stopwatch();
if(options.Timeout > 0) { watch.Start(); }
while (true)
```

```c#
 // Kill the uninstaller (and children) if they were idle/stalled for too long 
 if (idleCounter > 30 || watch.ElapsedMilliseconds >= options.Timeout) 
 { 
     watch.Stop();
     KillProcesses(watchedProcesses); 
     throw new IOException(Localisation.UninstallError_UninstallerTimedOut);
// ... after the while loop
watch.Stop();
```

This would allow for all functionality to remain the same unless something explicitly implements the timeout.

I would be using this in my current fork to implement junk cleanup in `BCU-console`. If you'd like a PR for this, I'll be happy to put one together."
"584","Error due to deleted windows defender folders","open","cant-reproduce","bug-like","manual triage from title/body","2024-02-13 08:50:07","2024-05-25 08:37:19","","I have ""send and quit"" this error a couple of times. It happens because I have deleted the window's defender folders and files and I have disabled windows update features.

![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/18421898/0373fb3f-5985-47c4-b5f7-c658821a0b98)

So the software might as well change so that, it wont report this error, if it cant find the windows defender or some updates."
"608","Fresh install of Windows 11 in the EU, BCUninstaller did great but missed Spotify!","open","junk/app detection; low priority","bug-like","manual triage from title/body","2024-05-10 12:47:09","2024-05-10 12:55:18","","### Discussed in https://github.com/Klocman/Bulk-Crap-Uninstaller/discussions/605

<div type='discussions-op-text'>

<sup>Originally posted by **mboeker** May  4, 2024</sup>
As the title says. Brand new installation, EU based, and I used BCUninstaller to do a nice cleanup, but noticed that Spotify was still in the start menu afterwards.</div>"
"627","Really slow on Windows 11","open","","bug-like","manual triage from title/body","2024-07-17 14:07:44","2025-11-01 23:39:21","","Version 5.8 of the program is really slow on Windows 11, taking what feels like ages to uninstall one small program.

System specs if needed:
- Intel Pentium Silver N5030
- Intel HD Graphics 605
- 8GB DDR4 RAM
- 1TB M.2 SSD"
"628","I encountered an issue","open","","bug-like","manual triage from title/body","2024-07-19 11:45:21","2024-08-21 12:51:29","","Hi Klocman,

Thank you for creating such a useful program. However, I encountered an error that caused the program to close, and I am unable to fix it. Could you please help me? Please see the attached image below for more details.

I am not very familiar with English, so this message has been translated. Please excuse any grammatical errors.

Thank you!
![螢幕擷取畫面 2024-07-19 194502](https://github.com/user-attachments/assets/9b7aeaf7-3c52-4ebb-9213-52f0d83e3a6a)
"
"631","i can't seem to uninstall some stuff, it just kept saying that i needed to turn of uninstall protection","open","wontfix","bug-like","manual triage from title/body","2024-08-09 09:45:08","2024-10-26 03:18:13","",""
"644","High DPI Distorts the startup screen","open","","bug-like","manual triage from title/body","2024-09-03 12:41:44","2024-09-03 12:41:44","","I have a PC I use with TV. If I start BCUninstaller, the startup configuration screen which scrolls from right to left, scrolls of an amount not sufficient to move to the next panel. It seems the outer frame and the inner panel go out of sync regarding size.

![image](https://github.com/user-attachments/assets/4e442330-4db7-4fad-a50e-d603daa57c2b)
"
